year,area,zip_code,moisture,kernel_weight,actual_wheat_ash,falling_no,protein_12,ZIP,COUNTY,FIPScounty,aggRain,meanAvgT,aggGDD,meanMaxVPD,meanMaxRH,meanMinRH
2014,Area 01 - North Central Texas,76240,12.6,34.53,0.0484,353,13.119450800000001,76240,48181,48181,2604.070896365999,288.1012074581005,5157.930938354003,0.4126256102219625,84.8291100879888,43.092480927374254
2014,Area 01 - North Central Texas,79052,11.1,24.56,0.0414,400,16.41214848,79052,48437,48437,769.1620400000003,284.7786930353815,3227.3303258389983,0.7186505240748601,76.49280906890134,24.812643407821223
2014,Area 01 - North Central Texas,79041,11.7,25.32,0.0466,385,15.54699887,79041,48189,48189,1027.526386135,285.614398407821,4490.740717944997,0.7406380314834303,75.80366032821227,25.08362015921785
2014,Area 01 - North Central Texas,79235,12.6,25.75,0.046,369,15.14324943,79235,48153,48153,1088.2719710250003,285.85923287709505,4545.820435987505,0.7306616682647864,76.06186643994411,25.852364775139687
2014,Area 03 - Northwest Oklahoma,73077,12.2,25.69,0.0481,432,13.30022779,73077,40103,40103,1620.0031542570002,285.56630175977654,4471.461730386003,0.4287831836042433,83.77733172206695,37.458549395251396
2014,Area 03 - Northwest Oklahoma,73727,12.15,24.85,0.0409,419,15.32612408,73727,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661
2014,Area 03 - Northwest Oklahoma,73735,11.4,25.71,0.0437,417,16.60677201,73735,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661
2014,Area 03 - Northwest Oklahoma,73738,11.3,24.7,0.047,294,13.12559188,73738,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661
2014,Area 03 - Northwest Oklahoma,74601,11.9,27.25,0.0506,352,14.45357548,74601,40071,40071,1629.1176517875003,285.30676522346397,4387.419497107997,0.4366883493347721,83.1932932206704,37.50030118575422
2014,Area 03 - Northwest Oklahoma,74601,11.9,27.25,0.0506,352,14.45357548,74601,40103,40103,1620.0031542570002,285.56630175977654,4471.461730386003,0.4287831836042433,83.77733172206695,37.458549395251396
2014,Area 03 - Northwest Oklahoma,74630,12.4,24.81,0.0502,330,14.63652968,74630,40103,40103,1620.0031542570002,285.56630175977654,4471.461730386003,0.4287831836042433,83.77733172206695,37.458549395251396
2014,Area 03 - Northwest Oklahoma,74630,12.4,24.81,0.0502,330,14.63652968,74630,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661
2014,Area 03 - Northwest Oklahoma,74631,12.05,24.8,0.0479,367,15.34872086,74631,40071,40071,1629.1176517875003,285.30676522346397,4387.419497107997,0.4366883493347721,83.1932932206704,37.50030118575422
2014,Area 03 - Northwest Oklahoma,74640,11.7,22.79,0.0463,383,15.58686297,74640,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661
2014,Area 03 - Northwest Oklahoma,74646,12.3,23.39,0.044000000000000004,375,15.061345499999998,74646,40071,40071,1629.1176517875003,285.30676522346397,4387.419497107997,0.4366883493347721,83.1932932206704,37.50030118575422
2014,Area 03 - Northwest Oklahoma,73720,12.1,24.16,0.0406,400,13.84573379,73720,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661
2014,Area 03 - Northwest Oklahoma,74643,12.8,24.33,0.0478,414,16.51009174,74643,40071,40071,1629.1176517875003,285.30676522346397,4387.419497107997,0.4366883493347721,83.1932932206704,37.50030118575422
2014,Area 04 - Texas Panhandle,79029,11.5,28.42,0.0459,380,14.97491525,79029,48341,48341,787.6396406633993,284.4310561312852,4081.1350350200005,0.6685611689943803,78.41844189106145,25.825292610335197
2014,Area 04 - Texas Panhandle,79042,12.55,28.54,0.0413,279,14.38993711,79042,48437,48437,769.1620400000003,284.7786930353815,3227.3303258389983,0.7186505240748601,76.49280906890134,24.812643407821223
2014,Area 04 - Texas Panhandle,79027,11.0,30.35,0.0501,386,14.98966292,79027,48069,48069,705.1868799999997,284.5160969832402,3189.1246371590005,0.7200191275231359,76.79783618249529,24.338191731843587
2014,Area 04 - Texas Panhandle,79040,11.95,32.81,0.0496,350,13.20249858,79040,48195,48195,346.20937049070005,284.68305759776536,2123.7319726799997,0.6842386080993687,78.42342270670385,25.330824229050286
2014,Area 04 - Texas Panhandle,79009,12.1,33.81,0.0406,366,14.055972699999998,79009,48369,48369,816.6866092772199,284.80919581005577,4276.910464557505,0.7526970149088041,75.85196377374307,23.948084287011152
2014,Area 04 - Texas Panhandle,79035,14.2,30.22,0.0526,362,15.31282051,79035,48369,48369,816.6866092772199,284.80919581005577,4276.910464557505,0.7526970149088041,75.85196377374307,23.948084287011152
2014,Area 04 - Texas Panhandle,79093,12.3,27.96,0.0439,403,15.19179019,79093,48357,48357,978.0311414095997,284.80027624301664,4238.6901014840005,0.6263984936386823,80.17564060614525,27.045539152234635
2014,Area 04 - Texas Panhandle,73951,13.1,33.12,0.0456,368,12.36455696,73951,40139,40139,137.56348,283.56738798882685,995.93695204,0.7887675800545925,74.18640094972069,24.936622793296078
2014,Area 04 - Texas Panhandle,73949,12.9,38.51,0.0478,363,12.669575199999999,73949,40139,40139,137.56348,283.56738798882685,995.93695204,0.7887675800545925,74.18640094972069,24.936622793296078
2014,Area 04 - Texas Panhandle,73945,12.75,32.42,0.045,360,13.676561600000001,73945,40139,40139,137.56348,283.56738798882685,995.93695204,0.7887675800545925,74.18640094972069,24.936622793296078
2014,Area 04 - Texas Panhandle,73942,11.8,34.47,0.0471,356,13.09024943,73942,40139,40139,137.56348,283.56738798882685,995.93695204,0.7887675800545925,74.18640094972069,24.936622793296078
2014,Area 04 - Texas Panhandle,73939,11.3,33.94,0.0473,352,12.75851184,73939,40139,40139,137.56348,283.56738798882685,995.93695204,0.7887675800545925,74.18640094972069,24.936622793296078
2014,Area 04 - Texas Panhandle,79086,11.95,32.32,0.0496,360,12.6528109,79086,48341,48341,787.6396406633993,284.4310561312852,4081.1350350200005,0.6685611689943803,78.41844189106145,25.825292610335197
2014,Area 04 - Texas Panhandle,79033,13.55,28.05,0.0497,352,14.79051475,79033,48357,48357,978.0311414095997,284.80027624301664,4238.6901014840005,0.6263984936386823,80.17564060614525,27.045539152234635
2014,Area 04 - Texas Panhandle,73933,11.45,31.98,0.044000000000000004,364,15.10559006,73933,40025,40025,133.52008,283.7490167597767,1004.3682244200002,0.8649486237825138,71.51532849162012,22.361806648044695
2014,Area 04 - Texas Panhandle,79070,11.3,29.12,0.0498,396,15.03043968,79070,48357,48357,978.0311414095997,284.80027624301664,4238.6901014840005,0.6263984936386823,80.17564060614525,27.045539152234635
2014,Area 06A - S. Central Kansas,67547,11.8,30.95,0.0446,358,13.858503400000002,67547,20047,20047,967.9091899999999,283.28138193668536,2833.027013349999,0.4387728483650743,84.0304024581006,32.59051620111729
