year,area,zip_code,moisture,kernel_weight,actual_wheat_ash,falling_no,protein_12,ZIP,COUNTY,FIPScounty,aggRain,meanAvgT,aggGDD,meanMaxVPD,meanMaxRH,meanMinRH,meanSRWM2
2015.0,Area 01 - North Central Texas,76240,10.55,24.96,0.0498,241.0,11.08731135,76240,48181,48181,2604.070896365999,288.1012074581005,5157.930938354003,0.4126256102219625,84.8291100879888,43.092480927374254,204.21304271089406
2015.0,Area 01 - North Central Texas,79041,10.85,28.88,0.0477,379.0,12.79282109,79041,48189,48189,1027.526386135,285.614398407821,4490.740717944997,0.7406380314834303,75.80366032821227,25.08362015921785,228.24758579748578
2015.0,Area 01 - North Central Texas,79072,11.25,26.92,0.0464,330.0,13.68338028,79072,48189,48189,1027.526386135,285.614398407821,4490.740717944997,0.7406380314834303,75.80366032821227,25.08362015921785,228.24758579748578
2015.0,Area 01 - North Central Texas,79235,11.25,33.39,0.0476,316.0,12.92980282,79235,48153,48153,1088.2719710250003,285.85923287709505,4545.820435987505,0.7306616682647864,76.06186643994411,25.852364775139687,227.19455359078194
2015.0,Area 01 - North Central Texas,79231,11.5,35.88,0.0466,376.0,9.615367232,79231,48153,48153,1088.2719710250003,285.85923287709505,4545.820435987505,0.7306616682647864,76.06186643994411,25.852364775139687,227.19455359078194
2015.0,Area 01 - North Central Texas,79052,11.05,32.02,0.0436,375.0,12.48521641,79052,48437,48437,769.1620400000003,284.7786930353815,3227.3303258389983,0.7186505240748601,76.49280906890134,24.812643407821223,226.86420864059582
2015.0,Area 01 - North Central Texas,79311,9.85,32.17,0.0526,391.0,13.13899057,79311,48189,48189,1027.526386135,285.614398407821,4490.740717944997,0.7406380314834303,75.80366032821227,25.08362015921785,228.24758579748578
2015.0,Area 03 - Northwest Oklahoma,73720,10.1,23.79,0.0344,394.0,12.37285873,73720,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661,202.0201947220669
2015.0,Area 03 - Northwest Oklahoma,74640,11.2,24.51,0.0521,400.0,13.33873874,74640,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661,202.0201947220669
2015.0,Area 03 - Northwest Oklahoma,74630,12.1,24.05,0.0496,337.0,12.68441411,74630,40103,40103,1620.0031542570002,285.56630175977654,4471.461730386003,0.4287831836042433,83.77733172206695,37.458549395251396,200.35876841899434
2015.0,Area 03 - Northwest Oklahoma,74630,12.1,24.05,0.0496,337.0,12.68441411,74630,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661,202.0201947220669
2015.0,Area 03 - Northwest Oklahoma,73738,10.5,23.33,0.0444,307.0,12.88044693,73738,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661,202.0201947220669
2015.0,Area 03 - Northwest Oklahoma,73735,12.4,21.49,0.0449,389.0,13.24018265,73735,40047,40047,1568.1666942499023,285.49816009776566,4433.060125859003,0.45210929628009516,83.02131721368708,36.50668175139661,202.0201947220669
